Root Beer,$2.50,1,2.5,0,2.5,2021-01-01 00:00:00,2021-01-31 00:00:00
S1 Madam Mam's Salad,$4.95,3,15.6,0,15.6,2021-01-01 00:00:00,2021-01-31 00:00:00
S1 Mam's Salad,$4.95,8,39.6,0,39.6,2021-01-01 00:00:00,2021-01-31 00:00:00
S2 Sauce,$0.75,1,0.75,0,0.75,2021-01-01 00:00:00,2021-01-31 00:00:00
S2 Yum Nuer,$11.25,7,78.75,0,78.75,2021-01-01 00:00:00,2021-01-31 00:00:00
S2 Yum Nuer **,$10.50,6,76,0,76,2021-01-01 00:00:00,2021-01-31 00:00:00
S2 Yum Tofu ** (Veg),$10.50,2,22.75,0,22.75,2021-01-01 00:00:00,2021-01-31 00:00:00
S3 Num Tok,$11.25,10,112.5,0,112.5,2021-01-01 00:00:00,2021-01-31 00:00:00
S3 Num Tok (Waterfall) **,$10.50,5,56,0,56,2021-01-01 00:00:00,2021-01-31 00:00:00
S4 Som Tum,$9.95,3,29.85,0,29.85,2021-01-01 00:00:00,2021-01-31 00:00:00
S4 Som Tum (Papaya Salad) **,$9.50,11,109,0,109,2021-01-01 00:00:00,2021-01-31 00:00:00
S4 Som Tum (Papaya Salad) **  (Veg),$10.50,1,10.5,0,10.5,2021-01-01 00:00:00,2021-01-31 00:00:00
S5 Yum Green Bean *,$10.95,2,21.9,0,21.9,2021-01-01 00:00:00,2021-01-31 00:00:00
S5 Yum Grn Bean,$10.95,2,21.9,0,21.9,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Flat Noodle,$2.00,1,2,0,2,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Fried Egg Noodle,$2.00,1,2,0,2,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Lime/Lemon,$0.50,1,0.5,0,0.5,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Mushroom,$2.00,1,2,0,2,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Steamed Egg Noodle,$2.00,2,4,0,4,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Udon,$2.00,1,2,0,2,2021-01-01 00:00:00,2021-01-31 00:00:00
SD Vermicelli,$2.00,2,4,0,4,2021-01-01 00:00:00,2021-01-31 00:00:00
Sierra Mist,$2.50,9,22.5,0,22.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Singha Beer Bottle,$3.00,13,39,0,39,2021-01-01 00:00:00,2021-01-31 00:00:00
Soda Water,$1.50,40,55.5,0,55.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Spring Roll,$4.95,2,9.9,0,9.9,2021-01-01 00:00:00,2021-01-31 00:00:00
Sticky Rice,$3.00,13,39,0,39,2021-01-01 00:00:00,2021-01-31 00:00:00
Sweet & Sour,$9.50,2,21,0,21,2021-01-01 00:00:00,2021-01-31 00:00:00
Teaw Gai,$9.50,1,9.5,0,9.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Teaw Kua Gai,$9.75,1,9.75,0,9.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Teaw Nuer Sub,$9.95,1,9.95,0,9.95,2021-01-01 00:00:00,2021-01-31 00:00:00
Thai Coffee,$3.50,22,77,0,77,2021-01-01 00:00:00,2021-01-31 00:00:00
Thai Coffee(No Ice),$4.75,2,9.5,0,9.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Thai Milk Green Tea,$3.95,17,68.4,0,68.4,2021-01-01 00:00:00,2021-01-31 00:00:00
Thai Tea,$3.50,97,341.5,0.35,341.15,2021-01-01 00:00:00,2021-01-31 00:00:00
Thai Tea(No Ice),$4.75,5,23.75,0,23.75,2021-01-01 00:00:00,2021-01-31 00:00:00
Topo Chico,$2.50,8,20,0,20,2021-01-01 00:00:00,2021-01-31 00:00:00
Tropicana Lemonade,$2.50,1,2.5,0,2.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Veg Stir-fried,$9.50,1,9.5,0,9.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Vermicelli Rice Noodle,$3.00,3,9,0,9,2021-01-01 00:00:00,2021-01-31 00:00:00
Water,$1.50,5,7.5,0,7.5,2021-01-01 00:00:00,2021-01-31 00:00:00
Wings 1 Mix,$6.50,26,169,0,169,2021-01-01 00:00:00,2021-01-31 00:00:00
Wings 2 Mix,$11.00,33,363,0,363,2021-01-01 00:00:00,2021-01-31 00:00:00
Wings 3 Mix,$15.00,3,45,0,45,2021-01-01 00:00:00,2021-01-31 00:00:00
Wings 4 Mix,$20.00,3,60,0,60,2021-01-01 00:00:00,2021-01-31 00:00:00
Wings 5 Mix,$24.00,1,24,0,24,2021-01-01 00:00:00,2021-01-31 00:00:00
Wings 6 Mix,$27.00,1,27,0,27,2021-01-01 00:00:00,2021-01-31 00:00:00
Yum Grn Bean,$10.95,1,10.95,0,10.95,2021-01-01 00:00:00,2021-01-31 00:00:00
(4 oz) Homemade Roasted Chili Oil,$8.00,3,24,0,24,2021-02-01 00:00:00,2021-02-28 00:00:00
(8oz) Homemade Roasted Chili Oil,$15.00,2,30,0,30,2021-02-01 00:00:00,2021-02-28 00:00:00
A1 Madam Roll,$4.50,197,886.5,0,886.5,2021-02-01 00:00:00,2021-02-28 00:00:00
A1 Madam Rolls,$4.50,124,567.75,0,567.75,2021-02-01 00:00:00,2021-02-28 00:00:00
A1 Madam Rolls (30 pcs.),$40.00,2,80,0,80,2021-02-01 00:00:00,2021-02-28 00:00:00
A1 Madam Rolls (Veg),$4.50,5,22.5,0,22.5,2021-02-01 00:00:00,2021-02-28 00:00:00
A1 Sauce,$0.75,4,3,0,3,2021-02-01 00:00:00,2021-02-28 00:00:00
A11 Edamame,$5.50,16,88,0,88,2021-02-01 00:00:00,2021-02-28 00:00:00
A11 Roasted Chili Edamame *,$5.50,22,121,0,121,2021-02-01 00:00:00,2021-02-28 00:00:00
A2 Fresh Spring Rolls,$4.95,89,444.3,0,444.3,2021-02-01 00:00:00,2021-02-28 00:00:00
